subject_number,subject,subject_slug,topic_number,topic_name,slug,status,ref_nptel,ref_libretexts,ref_mit_ocw,youtube_id,scheduled_at_ist,updated_at,notes
1,Fluid Flow,fluid-flow,1,What is a fluid — properties and behaviour,01_what_is_a_fluid_properties_and_behaviour,produced,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,2026-08-20T20:37:12+05:30,voiceover blocked: free plan cannot use library voice via API
1,Fluid Flow,fluid-flow,2,Pressure in fluids — Pascal's law,02_pressure_in_fluids_pascals_law,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,3,Bernoulli's equation — the energy balance,03_bernoullis_equation_the_energy_balance,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,4,Reynolds number — laminar vs turbulent flow,04_reynolds_number_laminar_vs_turbulent_flow,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,5,Pipe flow — velocity profiles,05_pipe_flow_velocity_profiles,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,6,Pressure drop in pipes — Darcy-Weisbach,06_pressure_drop_in_pipes_darcy_weisbach,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,7,Centrifugal pumps — how they work,07_centrifugal_pumps_how_they_work,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,8,Pump curves and system curves,08_pump_curves_and_system_curves,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,9,Valves — types and functions,09_valves_types_and_functions,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
1,Fluid Flow,fluid-flow,10,"Flow measurement — orifice, venturi, rotameter",10_flow_measurement_orifice_venturi_rotameter,pending,Fluid Mechanics for Chemical Engineering,Fluid Mechanics,Chemical Engineering — Fluid Mechanics,,,,
2,Heat Transfer,heat-transfer,1,"Modes of heat transfer — conduction, convection, radiation",01_modes_of_heat_transfer_conduction_convection_radiation,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,2,Fourier's law — conduction,02_fouriers_law_conduction,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,3,Newton's law of cooling — convection,03_newtons_law_of_cooling_convection,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,4,Overall heat transfer coefficient — U,04_overall_heat_transfer_coefficient_u,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,5,Log mean temperature difference — LMTD,05_log_mean_temperature_difference_lmtd,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,6,Shell and tube heat exchanger — basics,06_shell_and_tube_heat_exchanger_basics,produced,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,Pilot video — Session 1. final_video_v2.mp4
2,Heat Transfer,heat-transfer,7,Shell and tube — parallel vs counter-current flow,07_shell_and_tube_parallel_vs_counter_current_flow,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,8,Shell and tube — baffles and their purpose,08_shell_and_tube_baffles_and_their_purpose,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,9,Shell and tube — multi-pass arrangements,09_shell_and_tube_multi_pass_arrangements,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,10,Shell and tube — fouling and cleaning,10_shell_and_tube_fouling_and_cleaning,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,11,Plate heat exchangers,11_plate_heat_exchangers,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,12,Condensers,12_condensers,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,13,Reboilers,13_reboilers,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
2,Heat Transfer,heat-transfer,14,Jacketed vessels,14_jacketed_vessels,pending,Heat Transfer,Heat Transfer,Chemical Engineering — Heat Transfer,,,,
3,Mass Transfer,mass-transfer,1,Fick's law of diffusion,01_ficks_law_of_diffusion,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,2,Gas absorption — principles,02_gas_absorption_principles,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,3,Packed columns,03_packed_columns,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,4,Distillation — vapour liquid equilibrium,04_distillation_vapour_liquid_equilibrium,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,5,McCabe-Thiele method,05_mccabe_thiele_method,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,6,Distillation column internals,06_distillation_column_internals,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,7,Liquid liquid extraction,07_liquid_liquid_extraction,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,8,Evaporation,08_evaporation,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,9,Drying,09_drying,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
3,Mass Transfer,mass-transfer,10,Crystallisation,10_crystallisation,pending,Mass Transfer Operations,Mass Transfer,Chemical Engineering — Separation Processes,,,,
